APE ESCAPE,APE ESCAPE,this bitch empty,de_nuke,Loss,13-16,May 23 18
APE ESCAPE,APE ESCAPE,Manly Men,de_inferno,Win,16-9,Jun 3 18
APE ESCAPE,Get Five Gaming,APE ESCAPE,de_overpass,Win,7-16,Jun 4 18
APE ESCAPE,Fews Money Crew,APE ESCAPE,de_mirage,Win,8-16,Jun 6 18
APE ESCAPE,APE ESCAPE,Team Empire,de_train,Loss,0-16,Jun 13 18
APE ESCAPE,APE ESCAPE,MixedReviews,de_cache,Win,16-12,Jun 15 18
APE ESCAPE,carBOMB,APE ESCAPE,de_cache,Win,4-16,Jun 18 18
APE ESCAPE,Imported Goods,APE ESCAPE,de_overpass,Win,1-16,Jun 22 18
APE ESCAPE,APE ESCAPE,Broken Alliance,de_overpass,Loss,14-16,Jun 23 18
APE ESCAPE,APE ESCAPE,LoliBread,de_mirage,Win,16-6,Jun 27 18
APE ESCAPE,UnderGods-,APE ESCAPE,de_inferno,Win,10-16,Jun 28 18
APE ESCAPE,APE ESCAPE,Falcons-GG,de_mirage,Win,16-2,Jul 6 18
APE ESCAPE,Average Joes Gym,APE ESCAPE,de_cache,Win,9-16,Jul 8 18
APE ESCAPE,afraid,APE ESCAPE,de_mirage,Win,6-16,Jul 12 18
APE ESCAPE,Half Evil,APE ESCAPE,de_inferno,Loss,16-10,Jul 16 18
APE ESCAPE,APE ESCAPE,Half Evil,Multiple,Win,2-1,Jul 31 18
APE ESCAPE,VCU CSGO,APE ESCAPE,Multiple,Win,0-2,Aug 3 18
APE ESCAPE,APE ESCAPE,SANLAN,Multiple,Win,2-0,Aug 7 18
APE ESCAPE,APE ESCAPE,Squirtle Squad,Multiple,Loss,0-2,Aug 10 18
FilthyCasuals,FilthyCasuals,Mobility-Gaming,de_mirage,Loss,17-19,May 23 18
FilthyCasuals,Brokeback Mountain,FilthyCasuals,de_cache,Win,0-16,May 28 18
FilthyCasuals,FilthyCasuals,Lasgana Boys,de_inferno,Win,16-4,May 31 18
FilthyCasuals,But What If,FilthyCasuals,de_cache,Loss,19-17,Jun 4 18
FilthyCasuals,FilthyCasuals,Empire,de_cache,Win,16-13,Jun 6 18
FilthyCasuals,Quixotic Reality,FilthyCasuals,de_train,Win,16-19,Jun 11 18
FilthyCasuals,Poseidon eSports NA,FilthyCasuals,de_inferno,Win,4-16,Jun 12 18
FilthyCasuals,Feels IM Man,FilthyCasuals,de_inferno,Win,7-16,Jun 17 18
FilthyCasuals,FilthyCasuals,Grain Bin Boyz,de_inferno,Win,16-13,Jun 21 18
FilthyCasuals,FilthyCasuals,Team Mutinous,de_cache,Win,16-0,Jun 25 18
FilthyCasuals,Clam Shack Clapba...,FilthyCasuals,de_overpass,Win,6-16,Jun 28 18
FilthyCasuals,FilthyCasuals,Oceanic Squad,de_nuke,Win,16-13,Jun 29 18
FilthyCasuals,TangoWorldWide,FilthyCasuals,de_train,Win,12-16,Jul 3 18
FilthyCasuals,FilthyCasuals,For The Community,de_overpass,Win,16-9,Jul 9 18
FilthyCasuals,FilthyCasuals,ExPURE,de_train,Win,16-0,Jul 11 18
FilthyCasuals,Vendetta Gaming,FilthyCasuals,de_mirage,Win,12-16,Jul 18 18
FilthyCasuals,FilthyCasuals,Grain Bin Boyz,Multiple,Win,2-0,Jul 30 18
FilthyCasuals,FilthyCasuals,For The Community,Multiple,Win,2-0,Aug 3 18
FilthyCasuals,FilthyCasuals,Snows Racers,Multiple,Win,2-0,Aug 7 18
FilthyCasuals,FilthyCasuals,Mazer Gaming,Multiple,Loss,1-2,Aug 10 18
Vendetta Gaming,Prison Sex,Vendetta Gaming,de_train,Win,16-19,May 24 18
Vendetta Gaming,Higher Power,Vendetta Gaming,de_train,Win,5-16,May 28 18
Vendetta Gaming,Vendetta Gaming,survivor,de_overpass,Win,16-0,Jun 1 18
Vendetta Gaming,Vendetta Gaming,PHENOM REBORN ASC...,de_mirage,Win,16-8,Jun 4 18
Vendetta Gaming,Vendetta Gaming,Mediocre Team,de_nuke,Loss,14-16,Jun 7 18
Vendetta Gaming,The beasty boys,Vendetta Gaming,de_mirage,Win,3-16,Jun 11 18
Vendetta Gaming,Vendetta Gaming,Clam Shack Clapba...,de_nuke,Win,16-5,Jun 14 18
Vendetta Gaming,Phat Brain,Vendetta Gaming,de_inferno,Win,12-16,Jun 18 18
Vendetta Gaming,Mobility-Gaming,Vendetta Gaming,de_inferno,Win,10-16,Jun 25 18
Vendetta Gaming,Vendetta Gaming,Lore,de_cache,Loss,17-19,Jun 27 18
Vendetta Gaming,Vendetta Gaming,La-Li-Lu-Le-Lo,de_nuke,Win,16-8,Jun 29 18
Vendetta Gaming,Vendetta Gaming,For The Community,de_train,Win,16-0,Jul 2 18
Vendetta Gaming,But What If,Vendetta Gaming,de_cache,Loss,16-5,Jul 6 18
Vendetta Gaming,ExPURE,Vendetta Gaming,de_train,Win,9-16,Jul 8 18
Vendetta Gaming,Empire,Vendetta Gaming,de_mirage,Win,8-16,Jul 17 18
Vendetta Gaming,Vendetta Gaming,FilthyCasuals,de_mirage,Loss,12-16,Jul 18 18
Vendetta Gaming,Move 37 Gaming,Vendetta Gaming,Multiple,Win,0-2,Jul 29 18
Vendetta Gaming,drain gang,Vendetta Gaming,Multiple,Win,1-2,Aug 3 18
Vendetta Gaming,NO EXECUTES,Vendetta Gaming,Multiple,Win,0-2,Aug 7 18
Vendetta Gaming,Vendetta Gaming,Midwest CSGO,Multiple,Loss,0-2,Aug 10 18
AngGang,Empire,AngGang,de_mirage,Loss,16-5,May 25 18
AngGang,Team Mutinous,AngGang,de_overpass,Loss,16-14,May 27 18
AngGang,AngGang,PONY,de_mirage,Loss,12-16,May 31 18
AngGang,AngGang,yikeszzz,de_mirage,Win,16-14,Jun 6 18
AngGang,Last Picks,AngGang,de_nuke,Win,11-16,Jun 9 18
AngGang,AngGang,Mind Bending Perf...,de_mirage,Win,16-9,Jun 12 18
AngGang,Move 37 Gaming,AngGang,de_nuke,Win,12-16,Jun 15 18
AngGang,AngGang,Noble xD,Pending Veto,Win,16-0,Jun 18 18
AngGang,Team Alpha Wolves,AngGang,de_cache,Win,11-16,Jun 21 18
AngGang,Prison Sex,AngGang,de_overpass,Win,0-16,Jun 22 18
AngGang,AngGang,Grain Bin Boyz,de_cache,Loss,17-19,Jun 27 18
AngGang,Northeastern-U RED,AngGang,de_overpass,Win,0-16,Jun 29 18
AngGang,La-Li-Lu-Le-Lo,AngGang,de_overpass,Loss,16-13,Jul 4 18
AngGang,AngGang,NO EXECUTES,de_cache,Loss,12-16,Jul 9 18
AngGang,AngGang,DamageOverTime,de_overpass,Win,16-2,Jul 11 18
AngGang,Skeet Skeet Water...,AngGang,de_mirage,Win,3-16,Jul 16 18
AngGang,Gummy Dods,AngGang,Multiple,Win,1-2,Jul 30 18
AngGang,AngGang,Team Texas,Multiple,Win,2-1,Aug 4 18
AngGang,Consistently Whiffs,AngGang,Multiple,Win,0-2,Aug 7 18
AngGang,Unkind eSports,AngGang,Multiple,Loss,2-1,Aug 8 18
Consistently Whiffs,Consistently Whiffs,6o8,de_overpass,Win,16-5,May 21 18
Consistently Whiffs,Skyline GG,Consistently Whiffs,de_inferno,Loss,16-13,May 27 18
Consistently Whiffs,Gummy Dods,Consistently Whiffs,de_cache,Loss,16-10,May 30 18
Consistently Whiffs,Consistently Whiffs,Fierce Gaming,de_mirage,Win,16-6,Jun 4 18
Consistently Whiffs,sireaLz,Consistently Whiffs,de_inferno,Win,7-16,Jun 7 18
Consistently Whiffs,Consistently Whiffs,BOYS ARE BACK,de_nuke,Win,19-16,Jun 11 18
Consistently Whiffs,Consistently Whiffs,PUGTHUGZ,de_overpass,Win,16-3,Jun 18 18
Consistently Whiffs,Consistently Whiffs,SyntheticDreamz,de_overpass,Win,16-8,Jun 18 18
Consistently Whiffs,Hedgehogs,Consistently Whiffs,de_cache,Loss,16-9,Jun 20 18
