"['AngGang', 'yikeszzz']",Jun 6 18,de_mirage
"['AngGang', 'Last Picks']",Jun 9 18,de_nuke
"['AngGang', 'Mind Bending Perf...']",Jun 12 18,de_mirage
"['AngGang', 'Move 37 Gaming']",Jun 15 18,de_nuke
"['AngGang', 'Noble xD']",Jun 18 18,Pending Veto
"['AngGang', 'Team Alpha Wolves']",Jun 21 18,de_cache
"['AngGang', 'Prison Sex']",Jun 22 18,de_overpass
"['AngGang', 'Grain Bin Boyz']",Jun 27 18,de_cache
"['AngGang', 'Northeastern-U RED']",Jun 29 18,de_overpass
"['AngGang', 'La-Li-Lu-Le-Lo']",Jul 4 18,de_overpass
"['AngGang', 'NO EXECUTES']",Jul 9 18,de_cache
"['AngGang', 'DamageOverTime']",Jul 11 18,de_overpass
"['AngGang', 'Skeet Skeet Water...']",Jul 16 18,de_mirage
"['AngGang', 'Gummy Dods']",Jul 30 18,Multiple
"['AngGang', 'Team Texas']",Aug 4 18,Multiple
"['AngGang', 'Consistently Whiffs']",Aug 7 18,Multiple
"['6o8', 'Consistently Whiffs']",May 21 18,de_overpass
"['Consistently Whiffs', 'Skyline GG']",May 27 18,de_inferno
"['Consistently Whiffs', 'Gummy Dods']",May 30 18,de_cache
"['Consistently Whiffs', 'Fierce Gaming']",Jun 4 18,de_mirage
"['Consistently Whiffs', 'sireaLz']",Jun 7 18,de_inferno
"['BOYS ARE BACK', 'Consistently Whiffs']",Jun 11 18,de_nuke
"['Consistently Whiffs', 'PUGTHUGZ']",Jun 18 18,de_overpass
"['Consistently Whiffs', 'SyntheticDreamz']",Jun 18 18,de_overpass
"['Consistently Whiffs', 'Hedgehogs']",Jun 20 18,de_cache
"['Consistently Whiffs', 'Gods with Attitude']",Jun 25 18,de_inferno
"['Consistently Whiffs', 'DreamTanks']",Jun 28 18,de_inferno
"['Consistently Whiffs', 'Team Digital Dynasty']",Jul 2 18,de_mirage
"['Consistently Whiffs', 'Night Prowlers CS']",Jul 6 18,de_nuke
"['Consistently Whiffs', 'Table Flipping 5']",Jul 9 18,de_mirage
